product_name,product_category_tree,brand,retail_price,discounted_price,product_rating,discount_percentage
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpiece >> Religious Idols >> Redbag Religious Idols >> Redbag Eight Armed Goddess Sherawali Maa Showpie...""]",Redbag,1600.0,1200.0,,25.0
"Proence Weight Gainers, Mass Gainers","[""Food & Nutrition >> Health & Nutrition >> Protein Supplements >> Proence Weight Gainers, Mass Gainers (60 No, Unf...""]",Proence,1025.0,949.0,,7.41
Discountgod Men's Checkered Casual Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Discountgod Casual & Party Wear Shirts""]",Slim,750.0,590.0,,21.33
Silver Streak Men's Printed Casual Denim Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Silver Streak Casual & Party Wear Shirts""]",Slim,1299.0,599.0,,53.89
"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Cobra Paris Wrist Watches""]",,18995.0,15195.0,,20.01
TEN TEN Women's Black Knee Length Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,4995.0,1995.0,,60.06
"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Aries Gold Wrist Watches""]",,13699.0,13099.0,,4.38
Carlton Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3495.0,1223.0,,65.01
Maserati Time R8851116001 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Maserati Time Wrist Watches""]",,24400.0,24400.0,,0.0
"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Vizion Wrist Watches""]",,1095.0,595.0,,45.66
"Camerii WM64 Elegance Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Camerii Wrist Watches""]",,1099.0,449.0,5.0,59.14
Reckler Slim Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Reckler Jeans""]",Slim,5398.0,2599.0,,51.85
Quechua Arpenaz Novadry Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2499.0,2250.0,,9.96
"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls","[""Watches >> Wrist Watches >> Colat Wrist Watches""]",,3999.0,849.0,5.0,78.77
Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1799.0,719.0,,60.03
Rochees RW38 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Rochees Wrist Watches""]",,1415.0,1202.0,,15.05
"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Rorlig Wrist Watches""]",,1099.0,399.0,5.0,63.69
Catwalk Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2095.0,999.0,,52.32
Magnum Footwear Lifestyle,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3999.0,2099.0,,47.51
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> T STAR Wrist Watches""]",,999.0,399.0,,60.06
Rialto Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3295.0,2795.0,,15.17
Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2499.0,1249.0,,50.02
"Alfajr WY16B Youth Digital Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Alfajr Wrist Watches""]",,5495.0,4995.0,,9.1
La Briza Ashley Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2299.0,2299.0,,0.0
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> TAG Heuer Wrist Watches""]",,107750.0,107750.0,,0.0
Salt N Pepper 13-019 Femme Black Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,4195.0,3146.0,,25.01
Shuz Touch Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1499.0,1270.0,,15.28
Wrangler Skanders Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Wrangler Jeans""]",Skanders,2795.0,1817.0,,34.99
Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3199.0,1919.0,,40.01
Salt N Pepper 14-664 Denny Black Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,4295.0,3221.0,,25.01
"Costa Swiss CS-2001 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Costa Swiss Wrist Watches""]",,1199.0,429.0,,64.22
Crocs Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3995.0,3995.0,,0.0
